0,1,2,3,4,5
0.0,1.5747059466239425e-05,3.15612443041631e-05,1.5768681386666913e-05,3.054778001148478e-06,9.798661478335746e-06
2.0,1.593204602201863e-05,3.189044532619055e-05,1.5944316211852216e-05,1.566450238577044e-06,2.274041424225187e-06
3.0,1.591481144851744e-05,3.176122194285293e-05,1.588918989983354e-05,2.1103269434510907e-06,4.113511977765771e-06
4.0,1.564594644372125e-05,3.132730287629115e-05,1.567178913824442e-05,4.275512007431009e-06,2.5062877821918628e-05
5.0,1.5645944671637034e-05,3.1327280364942464e-05,1.567177862128212e-05,4.275688569616021e-06,2.506601993172708e-05
7.0,1.6025135370061538e-05,3.205661230453426e-05,1.6015463544297864e-05,9.616138953102982e-07,1.0305090484032109e-06
8.0,1.5915113832480794e-05,3.176345517316714e-05,1.5890143173873106e-05,2.1004210441107063e-06,4.072367278565997e-06
9.0,1.592874704709206e-05,3.1865691430463944e-05,1.5933734677630457e-05,1.6659825484641178e-06,2.552171023403188e-06
12.0,1.6018689081320455e-05,3.2008609111140035e-05,1.5994883482054953e-05,1.124699657101269e-06,1.2979603792907801e-06
13.0,1.572556788475405e-05,3.139738306295187e-05,1.5700518439106317e-05,3.899603521963224e-06,1.9078937749494873e-05
14.0,1.5650301202994052e-05,3.1360814179381274e-05,1.568548789358283e-05,4.0948688338759975e-06,2.201836971625626e-05
15.0,1.5650559459078105e-05,3.136276946397003e-05,1.5686290724060276e-05,4.08431520524874e-06,2.1850458759700708e-05
16.0,1.573833503916021e-05,3.1494615405604914e-05,1.5740825735511416e-05,3.391827630160743e-06,1.2910343135615066e-05
17.0,1.5835366786775282e-05,3.169511292952856e-05,1.5861104488489736e-05,2.4100424739700865e-06,5.517337539867606e-06
18.0,1.5824523325734313e-05,3.161308197777331e-05,1.5790470035694296e-05,2.7995694082891265e-06,7.869780679188587e-06
19.0,1.5736642167624984e-05,3.1481701591364736e-05,1.573545127627092e-05,3.4582158569794463e-06,1.3608491972620651e-05
20.0,1.5916425804950694e-05,3.1773292231560696e-05,1.589432053918441e-05,2.057133852484405e-06,3.896207786464878e-06
21.0,1.5642953333377257e-05,3.130428314568334e-05,1.566242023271977e-05,4.40063461904297e-06,2.7370714759042403e-05
22.0,1.5736762228119082e-05,3.148260927156657e-05,1.5735828809542926e-05,3.4534973009162084e-06,1.3557869697915226e-05
23.0,1.5746075634548613e-05,3.155370830894115e-05,1.576552340332507e-05,3.092402315749837e-06,1.0112468673509345e-05
24.0,1.582735539889992e-05,3.1634515470889066e-05,1.579949085087594e-05,2.6961157138204184e-06,7.179967019474431e-06
25.0,1.5939890402935598e-05,3.1949501365658925e-05,1.5969561525157328e-05,1.3386575744255003e-06,1.7215082182969743e-06
26.0,1.5723616625785627e-05,3.1382553387075685e-05,1.569440970998308e-05,3.978550857288571e-06,2.02255397287604e-05
27.0,1.5834139573399006e-05,3.16858227557993e-05,1.5857161353704033e-05,2.453230383874655e-06,5.746782773496245e-06
28.0,1.584333894949692e-05,3.175554038293074e-05,1.588677768333234e-05,2.1355051330884667e-06,4.219546213667796e-06
30.0,2.4923444892757446e-05,4.995206766388559e-05,2.4955379830840507e-05,3.8963951701879995e-06,9.804484654263312e-06
32.0,2.521622479771386e-05,5.0473204656479795e-05,2.523471550723924e-05,1.8570079378388282e-06,2.2872097235476785e-06
33.0,2.5188955068009694e-05,5.026863174063638e-05,2.514711769788583e-05,2.5896478700188075e-06,4.122876170652157e-06
34.0,2.476341578916885e-05,4.9581651379089486e-05,2.4799675497167578e-05,5.631789100197376e-06,2.506605434765552e-05
35.0,2.4763409362139367e-05,4.95816064963045e-05,2.4799657639386352e-05,5.632044644099388e-06,2.5069196805435623e-05
36.0,2.4617452397304295e-05,4.93156067876456e-05,2.4634111608610315e-05,6.975564686931973e-06,4.6811910962951675e-05
38.0,2.5189428235236665e-05,5.0272174555211074e-05,2.514863388543981e-05,2.576156260335194e-06,4.081782294787506e-06
39.0,2.52110093342142e-05,5.0434005246142305e-05,2.5217922645440205e-05,1.989788389278324e-06,2.5644400402022316e-06
43.0,2.4889432905536883e-05,4.9692608068006155e-05,2.4846034199409173e-05,5.092869018445689e-06,1.9082805245027035e-05
44.0,2.4770299513469495e-05,4.963470547333579e-05,2.4821803377039764e-05,5.372359260576165e-06,2.2021863598953306e-05
45.0,2.4770709999767443e-05,4.9637821255506254e-05,2.4823108181880327e-05,5.357227836337575e-06,2.1853974662880415e-05
46.0,2.4909640851814366e-05,4.984655590238932e-05,2.491078413896508e-05,4.371067115593874e-06,1.2915298178053924e-05
47.0,2.5063216326048085e-05,5.016398973857472e-05,2.51024101910087e-05,3.0001274975363645e-06,5.5253254090947834e-06
48.0,2.5046047090080455e-05,5.003414651165959e-05,2.49901882067409e-05,3.5396461217640507e-06,7.876363432225697e-06
49.0,2.490695577212496e-05,4.982612463060032e-05,2.490216580821117e-05,4.4650004445458136e-06,1.3613290917584286e-05
50.0,2.519149438111475e-05,5.028771884894e-05,2.5155285081113893e-05,2.5172657113770036e-06,3.905853229173306e-06
51.0,2.4758676328949384e-05,4.954517634556642e-05,2.4784509392788284e-05,5.811959007923084e-06,2.7373677539757613e-05
52.0,2.4907149596346172e-05,4.982757566558346e-05,2.4902777433714884e-05,4.458318301869824e-06,1.3562679255882393e-05
53.0,2.4921888825548766e-05,4.9940147520757816e-05,2.4950331827432864e-05,3.949188716607932e-06,1.011818649368501e-05
54.0,2.5050532225307865e-05,5.006806536094616e-05,2.506149209605471e-05,3.395741392617224e-06,7.186890941250634e-06
55.0,2.5228645897647402e-05,5.056666930935462e-05,2.527477673661821e-05,1.5554439314266477e-06,1.7374191727120847e-06
56.0,2.488634703560295e-05,4.96691174617335e-05,2.483619735042103e-05,5.205745735391287e-06,2.0229253150733095e-05
57.0,2.506127122613123e-05,5.0149293767676184e-05,2.5096133799518833e-05,3.059625639657837e-06,5.754596943990942e-06
58.0,2.5075831123996936e-05,5.02596627228024e-05,2.5143276782935153e-05,2.6239624985671672e-06,4.2287809157853795e-06
60.0,2.0358675308261402e-05,4.0803674193391065e-05,2.0385513298925434e-05,3.5084679493521675e-06,9.801580739585147e-06
62.0,2.05978304230422e-05,4.122933754606775e-05,2.0613263199995707e-05,1.7291868846490421e-06,2.2805340895645787e-06
63.0,2.0575554474138802e-05,4.1062259811335336e-05,2.0541819326026084e-05,2.3733727407167227e-06,4.118181042192526e-06
64.0,2.0227957518489242e-05,4.050115619290591e-05,2.0259068596751445e-05,4.997374777365032e-06,2.506447691280611e-05
65.0,2.0227947833694176e-05,4.050110002199077e-05,2.0259049852259375e-05,4.997590790326023e-06,2.506761352175091e-05
68.0,2.0575944358447017e-05,4.1065157580611605e-05,2.0543054193522536e-05,2.3615681470426364e-06,4.077060769956675e-06
69.0,2.0593568582237673e-05,4.1197329518485176e-05,2.0599556721762058e-05,1.8464495733123976e-06,2.55824052192849e-06
72.0,2.0709845354921746e-05,4.138210182091408e-05,2.0678741478308976e-05,1.212452238264633e-06,1.307603012801889e-06
73.0,2.0330888064335004e-05,4.059177061529334e-05,2.029664921200658e-05,4.536774825130568e-06,1.90808786156918e-05
