0,1,2,3,4,5,6,7
1.0,1.6118227911390793e-05,3.222079240450086e-05,1.612255826518097e-05,8.053838904713978e-06,4.031181388756272e-06,2.0147942225851034e-06,1.0076490603305732e-06
11.0,1.6125847270895884e-05,3.227717822768851e-05,1.6146817366127775e-05,8.065011623072105e-06,4.031645847470816e-06,2.0165818976347616e-06,1.0081668132960742e-06
31.0,2.5510909032396955e-05,5.099606109313683e-05,2.5517242774650284e-05,1.27445634557459e-05,6.3805704283576015e-06,3.185492524700878e-06,1.5929012709969825e-06
37.0,2.536356456669009e-05,5.0736221499430786e-05,2.5347596989352267e-05,1.2693092212287538e-05,6.337261594917959e-06,3.1726280907175275e-06,1.5862114696452156e-06
41.0,2.5522965952554533e-05,5.108530718652207e-05,2.555566987576946e-05,1.2762798743182202e-05,6.384601522083783e-06,3.19300982162124e-06,1.5952747816905255e-06
42.0,2.5353360032081282e-05,5.066022830844605e-05,2.5314961552773407e-05,1.2678682498087901e-05,6.3271143999690804e-06,3.164579971723369e-06,1.5837701116336311e-06
61.0,2.0838538014425565e-05,4.1656440638266484e-05,2.0843914984216422e-05,1.0411190707153295e-05,5.204829263145971e-06,2.6046133493363988e-06,1.3008790112345459e-06
67.0,2.0718181120269038e-05,4.144418162886632e-05,2.0705380477235857e-05,1.03699586497287e-05,5.185795633019102e-06,2.5914468128607204e-06,1.295697394841644e-06
71.0,2.0848389981419514e-05,4.172930771332087e-05,2.0875293430262787e-05,1.0425912719956576e-05,5.2185506098749446e-06,2.6072563899665058e-06,1.3052362383726701e-06
91.0,1.8993344120808156e-05,3.796803045831229e-05,1.8998320680811004e-05,9.489693622605211e-06,4.746047487985683e-06,2.3706804254744474e-06,1.186203084209414e-06
97.0,1.8883646564302886e-05,3.777454385156878e-05,1.887207462852175e-05,9.452505984556409e-06,4.7208653933920874e-06,2.3588565106133497e-06,1.1806856366758378e-06
101.0,1.900232172441464e-05,3.8034446429231414e-05,1.902692159489079e-05,9.503028599811003e-06,4.758057526362686e-06,2.3763100316445684e-06,1.1894251251906574e-06
121.0,1.2723402366093752e-05,2.5434617018236377e-05,1.2726936067153707e-05,6.358417009959261e-06,3.180155442138524e-06,1.5902249978425043e-06,7.950598156537814e-07
