0,1,2,3,4,5,6,7
1.0,3.384430025425104e-05,6.764604290624213e-05,3.383524805138788e-05,1.6923306125148085e-05,8.45624200831313e-06,4.226104075015502e-06,2.114471483405378e-06
11.0,3.3866203952561454e-05,6.774408645746077e-05,3.388396714733982e-05,1.6938593036239236e-05,8.467315037001544e-06,4.233102440964753e-06,2.118499453127032e-06
31.0,5.356647305382496e-05,0.00010706431755628035,5.3548859805706284e-05,2.6760437175865626e-05,1.3378717461778877e-05,6.686231532063158e-06,3.347684413027019e-06
37.0,5.322235183376472e-05,0.00010661208601978403,5.332419552718515e-05,2.6636852031095004e-05,1.3329308519327565e-05,6.662427476183952e-06,3.330852843444476e-06
41.0,5.360113966872918e-05,0.00010721948815571244,5.362658520491337e-05,2.6790389864417286e-05,1.3390553134914884e-05,6.70535215523127e-06,3.353012110532405e-06
61.0,4.3755734915334674e-05,8.745592706723565e-05,4.3742439682623036e-05,2.1867015433808812e-05,1.0933343696922782e-05,5.4621137496602135e-06,2.734341140758767e-06
67.0,4.3474639155751706e-05,8.708652159543709e-05,4.355983359765475e-05,2.177464772015053e-05,1.0882929911151806e-05,5.441199065439606e-06,2.7214893312949018e-06
71.0,4.378405299977715e-05,8.758267907731793e-05,4.380573637272067e-05,2.1889672577879438e-05,1.09589894025236e-05,5.4702732878997296e-06,2.7367259154836843e-06
91.0,3.988130583984853e-05,7.971217221134155e-05,3.986968259266088e-05,1.9934502047076752e-05,9.958052156075481e-06,4.981286829672249e-06,2.4895002301988933e-06
101.0,3.9907117320541786e-05,7.98277070815541e-05,3.9927282572856104e-05,1.9954278827505334e-05,9.97793463486385e-06,4.989480687347947e-06,2.4965270829097053e-06
121.0,2.6716017649842504e-05,5.3398673311930156e-05,2.670994126405951e-05,1.3340733940624128e-05,6.680074740125774e-06,3.33513904030025e-06,1.668284334163661e-06
131.0,2.6733308349320174e-05,5.3476070182171057e-05,2.6748175834145904e-05,1.3377749028528618e-05,6.6806313012979235e-06,3.3412435882507197e-06,1.6720062324879215e-06
151.0,2.671501900034564e-05,5.3396676741011145e-05,2.6708943110111127e-05,1.3340236816657136e-05,6.67983079429002e-06,3.3350281437652396e-06,1.6682506229492855e-06
161.0,2.6732308669460882e-05,5.347406629507834e-05,2.6747176074218282e-05,1.3377250180864053e-05,6.680385957975876e-06,3.3411288243301307e-06,1.671963041051383e-06
181.0,2.15517431163925e-05,4.3076707392071534e-05,2.1547785000484987e-05,1.0770069457707171e-05,5.385984416288181e-06,2.6905079418618194e-06,1.3462764945348926e-06
191.0,2.156569092157676e-05,4.313914232663245e-05,2.1578422780634682e-05,1.077613494434096e-05,5.3896254920624e-06,2.6945829526558995e-06,1.347998442619014e-06
211.0,4.870737339304678e-05,9.735262822389151e-05,4.869191332480122e-05,2.433681236944929e-05,1.2178778400401269e-05,6.087542456664763e-06,3.041198323588956e-06
217.0,4.839446962344885e-05,9.694142353657356e-05,4.848808253696962e-05,2.422868989966631e-05,1.2125568213852689e-05,6.0609167141789655e-06,3.0295565398158475e-06
221.0,4.873890077962753e-05,9.749373444054021e-05,4.876249762781476e-05,2.4363154622411565e-05,1.218624422505421e-05,6.0961712622792374e-06,3.0490289978091223e-06
241.0,3.994855649235886e-05,7.984658752825669e-05,3.9936904786833094e-05,1.996804595827406e-05,9.97458886994873e-06,4.989089530602064e-06,2.4958719522238937e-06
251.0,3.997441062967427e-05,7.996230860727108e-05,3.999460218538642e-05,1.9987871831099457e-05,9.994569290197597e-06,4.997450282012705e-06,2.4999344819115477e-06
271.0,4.301513570114518e-05,8.597570648679123e-05,4.3002162134701816e-05,2.14976150997373e-05,1.0750844076853894e-05,5.3756218437034375e-06,2.6878411873432206e-06
281.0,4.304297564829314e-05,8.610031585486524e-05,4.306437019922088e-05,2.1519721590972096e-05,1.0752995714222169e-05,5.3821257485070495e-06,2.6896700689171826e-06
301.0,1.824268400509488e-05,3.646277644490242e-05,1.824006501743164e-05,9.122882002703808e-06,4.555702361450087e-06,2.2796495213403545e-06,1.1393507506410328e-06
311.0,1.825449083752936e-05,3.6515621877361223e-05,1.826583644848334e-05,9.126492059519792e-06,4.561546665421412e-06,2.280418212617652e-06,1.1409167103015871e-06
331.0,5.522717563988342e-05,0.00011038348668340747,5.520881916555587e-05,2.75887604935382e-05,1.3788820871121765e-05,6.896329751038266e-06,3.448233207886675e-06
337.0,5.4872385253159316e-05,0.00010991723689636468,5.497703881304772e-05,2.745989165409135e-05,1.3732412145708861e-05,6.867437271212973e-06,3.4353530401626253e-06
341.0,5.526291669906685e-05,0.00011054346637974846,5.528898858632447e-05,2.7619948057722166e-05,1.3831116933121779e-05,6.905178580998705e-06,3.454773491035068e-06
361.0,4.7280153660147345e-05,9.450008990386644e-05,4.726532041653131e-05,2.3624939966382374e-05,1.1801833807431605e-05,5.907940648364196e-06,2.9533900827438675e-06
367.0,4.6976415801152846e-05,9.41009292742892e-05,4.7067605795335365e-05,2.3521357487468753e-05,1.1756385355193855e-05,5.878555086463733e-06,2.940579646060204e-06
371.0,4.731075197089447e-05,9.463705013451965e-05,4.7333800611358556e-05,2.3650217488804803e-05,1.1832509995118867e-05,5.913348310140898e-06,2.9584167264562478e-06
391.0,2.885883123662737e-05,5.7681556197926656e-05,2.885186709076365e-05,1.440737577754897e-05,7.203619878971834e-06,3.6048599733537467e-06,1.8030968619298093e-06
401.0,2.8877507782465884e-05,5.7765145384060246e-05,2.8893252289746707e-05,1.4448167659483757e-05,7.222053277480822e-06,3.6077828973191117e-06,1.8057574996399595e-06
421.0,2.7741200203725957e-05,5.544772216441521e-05,2.7734700014707403e-05,1.3851046189825023e-05,6.930553739847856e-06,3.4671753950041295e-06,1.7329718028299967e-06
431.0,2.7759153914378668e-05,5.5528089638731334e-05,2.7774441937966632e-05,1.3889867964737845e-05,6.946816828168334e-06,3.4719965832860633e-06,1.7356666526108233e-06
451.0,2.7801345221606984e-05,5.5567936670384774e-05,2.7794820006810106e-05,1.3880985106913546e-05,6.945248763261247e-06,3.4738993230989945e-06,1.736584831275867e-06
461.0,2.7819336094407187e-05,5.564846744285194e-05,2.783464751172221e-05,1.3919911765331028e-05,6.961628162410749e-06,3.4789396877246692e-06,1.7383243196347764e-06
481.0,3.182133105434238e-05,6.360272815685714e-05,3.181312979875367e-05,1.591426496328624e-05,7.943629568844812e-06,3.973278074644038e-06,1.9885395850446907e-06
491.0,3.184192451513579e-05,6.369490702880058e-05,3.1858871761630825e-05,1.5928046938000484e-05,7.968058038342052e-06,3.98075170537221e-06,1.9903550201108566e-06
511.0,3.7891418710024084e-05,7.573500857918636e-05,3.7880647811849855e-05,1.8941969799332603e-05,9.468746750791734e-06,4.732631172003898e-06,2.3680898625436098e-06
521.0,3.791593941090141e-05,7.584476589302808e-05,3.793531742493639e-05,1.8960264849980646e-05,9.485796488878373e-06,4.744392536427944e-06,2.3701607331297336e-06
541.0,3.541442745841686e-05,7.078425629060067e-05,3.5404710777932336e-05,1.7706471705437876e-05,8.84150704884984e-06,4.421846521239503e-06,2.211462087918503e-06
551.0,3.543734696856036e-05,7.088685504735848e-05,3.5455738701860307e-05,1.7722926150945395e-05,8.854811885249114e-06,4.434284373938668e-06,2.2168122110963195e-06
571.0,3.1428704690293977e-05,6.281798266867013e-05,3.142066775578545e-05,1.5718425807456637e-05,7.847495863924636e-06,3.92870764455433e-06,1.9624675858809226e-06
581.0,3.144904243590225e-05,6.290902948625707e-05,3.146583088633331e-05,1.5731915150869746e-05,7.871159908072467e-06,3.934928894673562e-06,1.9664877606503928e-06
601.0,4.0243713351399354e-05,8.043652205647761e-05,4.0231935432316623e-05,2.011526672908437e-05,1.0047166724695689e-05,5.023334874676433e-06,2.512729296175187e-06
611.0,4.026975742300355e-05,8.055309139209238e-05,4.029006596724394e-05,2.0135311784706678e-05,1.0067567777286013e-05,5.032426661277789e-06,2.5188377776041992e-06
631.0,2.6010306248833506e-05,5.198815490674649e-05,2.6004521970227068e-05,1.2989447286823608e-05,6.4945251356945954e-06,3.2511501975029944e-06,1.6248221281003894e-06
641.0,2.6027139598313893e-05,5.2063504042833275e-05,2.6041717844361295e-05,1.3025217959282409e-05,6.5072082842676515e-06,3.2541270253844123e-06,1.6279269310429112e-06
661.0,3.145655557440551e-05,6.287364637771672e-05,3.144850687694656e-05,1.5732317340894086e-05,7.854315002164824e-06,3.931869192057291e-06,1.9656226936115573e-06
671.0,3.1476913712658386e-05,6.296477068540654e-05,3.1493714242797344e-05,1.5745828828628294e-05,7.878033779912252e-06,3.938179602994141e-06,1.9677913599275287e-06
691.0,3.361580734922249e-05,6.718935332815368e-05,3.3606850748782446e-05,1.680933565252618e-05,8.400176085554545e-06,4.19999528016024e-06,2.1001284855187707e-06
701.0,3.363756363478337e-05,6.728674395619152e-05,3.3655234376137044e-05,1.682445296212476e-05,8.410924532485653e-06,4.2063182168969315e-06,2.1014662934387696e-06
721.0,3.6061963448043126e-05,7.20784832372659e-05,3.6051971559578067e-05,1.8029456093422713e-05,9.01888934717876e-06,4.5045186433112505e-06,2.252932964678933e-06
731.0,3.6085302424762686e-05,7.218294929521238e-05,3.610395234016073e-05,1.8046392196331695e-05,9.014619178099315e-06,4.510519367062482e-06,2.2551808971926768e-06
751.0,4.551893192966325e-05,9.097998567614285e-05,4.550486929198044e-05,2.27464712355685e-05,1.1367832457628846e-05,5.689920312440533e-06,2.842601911495768e-06
